Date,Open,High,Low,Close,SharesTraded,Tur11er(Rs.Cr)
1997-01-01,905.2,941.4,905.2,939.55,38948210,978.21
1997-01-02,941.95,944,925.05,927.05,49118380,1150.42
1997-01-03,924.3,932.6,919.55,931.65,35263845,866.74
1997-01-06,932.45,937.95,925.65,927.8,26323660,665.51
1997-01-07,926.35,935.15,922.25,928.8,44473415,1050.05
1997-01-08,937.35,953.1,937.35,946.7,49517340,1222.85
1997-01-09,945.15,959.75,943.6,956.6,39566905,1001.82
1997-01-10,962.7,984.1,962.7,980.35,52001500,1421.45
1997-01-13,978.55,982.25,965.5,980.7,40185285,1103.08
1997-01-14,984,994.4,977.7,989.3,49911225,1400.01
1997-01-15,997.5,1042.75,997.05,1041.8,53368615,1380.93
1997-01-16,1064.05,1085.75,995.35,1009.4,77685385,2140.11
1997-01-17,994.1,1009.7,976.35,1001.75,68737285,1938.74
1997-01-20,1004.1,1005.55,973.95,977,48113790,1405.17
1997-01-21,972.1,980.2,956.45,960.5,51642490,1426.08
1997-01-22,971.4,992.9,971.4,987.1,51947285,1444.35
1997-01-24,991.05,991.4,979.55,985.9,49858775,1412.15
1997-01-27,993.15,1017.3,990.3,1009.15,63131295,1836.31
1997-01-28,1016,1025.1,1007.95,1021.8,54183330,1525.17
1997-01-29,1038.1,1043.9,1007.1,1017.2,69064510,1996
1997-01-30,1010.6,1012.85,993.5,1000,61831230,1749.93
1997-01-31,988.7,988.7,965.85,972.65,59785210,1645.32
1997-02-03,967.9,967.9,944.2,948.2,53189325,1401.33
1997-02-04,947,963.2,944.45,958.3,55622410,1419.81
1997-02-05,970.75,984.8,959.5,962.5,44915395,1210.42
1997-02-06,960.75,972.4,953.95,967.75,49655895,1354.6
1997-02-07,969.5,980.95,966.5,978.8,47450205,1344.12
1997-02-10,981,986.75,975.15,981.45,45814740,1347.73
1997-02-11,980.95,996.05,978.85,992.75,40528475,1161.9
1997-02-12,991.65,1008.8,990.9,1001,47172975,1466.88
1997-02-13,998.45,1005.1,995.35,1002.15,31742790,933.91
1997-02-14,1001.3,1011.85,1001.1,1009.45,33065685,959.39
1997-02-17,1017.75,1024.3,1015.1,1020.1,44420840,1316.28
1997-02-18,1020.75,1020.85,998.9,1000.75,47719085,1425.19
1997-02-19,1004.05,1013.05,993.85,1011.85,47329340,1470.4
1997-02-20,1009.55,1009.6,1000.55,1003.1,37447640,1168.61
1997-02-21,1000.75,1002,989.5,991.55,34243065,1020.74
1997-02-24,988.7,988.9,961.95,964.75,41016040,1231.3
1997-02-25,962.6,975.25,954.5,966.1,53377450,1515.94
1997-02-26,963.95,970.5,956.75,968.85,37929265,1092.12
1997-02-27,972.35,994.5,972.05,992.75,43868610,1205.15
1997-02-28,998.25,1006.6,996,998.65,62993050,1888.14
1997-03-01,1070.8,1106.6,1070.8,1102.95,60588395,1884.87
1997-03-03,1102.45,1140.65,1095.9,1107.7,64394880,1907.42
1997-03-04,1111.75,1121.4,1098.2,1117.3,55906785,1763.37
1997-03-05,1144.25,1167.95,1122.25,1132.9,72360970,2289.44
1997-03-06,1127,1135.75,1119.3,1127.25,49304015,1598.54
1997-03-10,1118.8,1118.8,1075.05,1078.7,50438395,1575.92
1997-03-11,1073.8,1083.35,1046.3,1052,60255030,1787.11
1997-03-12,1066.55,1088.65,1065.25,1074.2,48953940,1518.18
1997-03-13,1076.85,1078.6,1062.7,1066.5,34832505,1128.65
1997-03-14,1062.2,1076.65,1057.55,1070.1,60180865,1842.43
1997-03-17,1071.95,1076.25,1065.45,1072.6,48967040,1498.61
1997-03-18,1072.3,1074.5,1061.05,1064.35,53280720,1628.06
1997-03-19,1074.25,1079.6,1050,1052.05,42505710,1320.29
1997-03-20,1049,1059.5,1040.95,1054.8,58859630,1794.23
1997-03-21,1058.7,1069.5,1058.55,1061.4,42522100,1381.68
1997-03-25,1064.5,1067.25,1054.5,1058.35,39647130,1238.51
1997-03-26,1062.5,1067.2,1057.5,1059.2,36190200,1119.26
1997-03-27,1057.45,1059,1047.7,1057.8,28285480,890.85
1997-03-31,1012.15,1012.15,966.8,968.3,6628765,130.85
1997-04-01,931.95,973.85,931.5,970.15,43678120,1153.81
1997-04-02,982.1,1004.65,982.1,1002.2,34665215,966.62
1997-04-03,1004.3,1012.75,1000.55,1010.65,30296975,868.85
1997-04-04,1001.9,1002,996.6,1001,19923885,566.4
1997-04-07,997.5,998,988,990.9,22270765,622.77
1997-04-09,1009.95,1031.15,1009.95,1030.3,32978520,944.8
1997-04-10,1024.45,1024.7,1000.3,1008.35,49312145,1482.06
1997-04-11,993.3,1017.2,985.65,1013.4,45472615,1370.56
1997-04-12,1004.9,1009.9,999.3,1003.25,24802315,782.38
1997-04-15,1010.65,1018.6,1010.65,1014.9,35734080,1119.52
1997-04-17,1020.4,1036.15,1018.25,1035.2,41261385,1194.39
1997-04-21,1041.45,1061.8,1041.25,1060.6,44879870,1352.29
1997-04-22,1066.7,1073.9,1056.4,1059.8,54745025,1674.87
1997-04-23,1065.95,1078.05,1063.85,1071.05,45202795,1318.16
1997-04-24,1071.4,1075.9,1063.3,1067.2,33622255,1038.97
1997-04-25,1065.4,1071.05,1062.95,1069.4,33845925,1060.85
1997-04-28,1068.6,1070.7,1061.2,1065.4,34436900,1094.31
1997-04-29,1063.6,1065.4,1052.8,1057.45,34582745,1095.14
1997-04-30,1081.1,1088.4,1075.95,1079.85,39887390,1245.84
1997-05-02,1074.7,1074.7,1063.75,1069,28798865,887.83
1997-05-05,1061.8,1061.8,1043.55,1045.5,37241005,1130.56
1997-05-06,1045.8,1050.55,1038.75,1048.4,37307765,1135
1997-05-07,1053.1,1055.05,1042.55,1044.4,33410419,977
1997-05-08,1043.7,1055.4,1039.8,1054.05,26528323,749.74
1997-05-09,1054.6,1063,1048.05,1053.35,29142822,836.95
1997-05-12,1052.8,1056.5,1039.05,1040.5,30568704,934.22
1997-05-13,1041.05,1042.25,1027.5,1031.05,32122389,991.73
1997-05-14,1030.35,1044.15,1018.15,1041.65,44973518,1389.86
1997-05-15,1041.65,1049,1036.25,1045,41608567,1434.48
1997-05-16,1043.4,1049.75,1041.1,1048.4,37267891,1274.64
1997-05-19,1052.2,1059.25,1048.05,1050.8,43800440,1504.22
1997-05-20,1051.55,1053.25,1045.3,1050.85,31737951,1129.44
1997-05-21,1047.5,1049.7,1040.55,1042,37024886,1117.98
1997-05-22,1042.45,1043.8,1034.35,1037.2,32620180,1039.31
1997-05-23,1037,1039,1028.75,1033.7,37947080,1143.26
1997-05-26,1032.15,1035.8,1025.5,1026.9,25032876,766.85
1997-05-27,1027.5,1031.5,1023.45,1025.7,37217256,1204.71
1997-05-28,1032.5,1035.35,1024.55,1027,30929056,951.01
1997-05-29,1024.75,1040.05,1023.8,1038.2,40836478,1209.28
1997-05-30,1039.85,1051.2,1038.3,1050.9,46859447,1456.58
1997-06-02,1053.05,1066.15,1051.05,1064.95,45577022,1538.46
1997-06-03,1067.65,1081.75,1067.55,1073.75,55249044,1918.05
1997-06-04,1081.55,1090.95,1078.8,1085.75,42314259,1411.74
1997-06-05,1089.85,1095.5,1082.85,1086.6,50585490,1677.28
1997-06-06,1087.5,1091.05,1081.3,1082.75,37099104,1199.31
1997-06-09,1082.95,1082.95,1071.55,1074.65,38198809,1239.34
1997-06-10,1075.3,1084.15,1075.2,1081.1,39958025,1267.61
1997-06-11,1090.45,1108.95,1090.45,1104.6,47356987,1515.43
1997-06-12,1106.1,1122.2,1105.75,1120.7,48095769,1600.33
1997-06-13,1124.95,1147.5,1122.75,1136.3,70400914,2409.42
1997-06-16,1135.3,1141.05,1121.85,1129.7,49674643,1723
1997-06-17,1134.9,1145.8,1127.15,1138.8,56455986,1912.16
1997-06-18,1162.2,1171,1156.05,1159.8,55267105,1773.65
1997-06-19,1151.95,1161.7,1145.35,1159.8,61698750,2032.31
1997-06-20,1162.7,1174.15,1154.3,1158.35,72300595,2501.93
1997-06-23,1159.6,1163,1149.3,1153.7,48517830,1600.88
1997-06-24,1154.95,1161.95,1146.85,1155.3,42541984,1393.11
1997-06-25,1166.1,1175,1158.9,1161.9,53339769,1859.56
1997-06-26,1164,1177.6,1160.25,1168.2,80960520,2993.55
1997-06-27,1168.3,1174.75,1165.95,1169.65,44355310,1656.65
1997-06-30,1167.45,1194.75,1164.5,1192.4,48364206,1887.38
1997-07-01,1201.3,1206.1,1193.55,1200.45,64487336,2276.55
1997-07-02,1214.7,1237.05,1212.6,1222.95,66334928,2234.31
1997-07-03,1222.45,1235.45,1209.45,1214.9,54582609,1773.43
1997-07-04,1218.95,1222.6,1209.45,1216.1,53071615,1721.29
1997-07-07,1217.4,1226.6,1208.25,1209.7,50910421,1692.8
1997-07-08,1205.1,1205.8,1193.35,1198.25,48806050,1657.23
1997-07-09,1211.6,1239.55,1211.6,1236.55,55538965,1890.81
1997-07-10,1248.1,1252.7,1234.95,1239.15,53761891,1732.44
1997-07-11,1233.5,1233.5,1217,1221.1,43429960,1499.56
1997-07-14,1212.4,1215.6,1176.6,1187.05,65042286,2277.19
1997-07-15,1190.5,1195.4,1180.75,1183.35,53412001,1809.3
1997-07-16,1195.55,1207,1179.25,1183,58670957,2057.27
