Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2011-09-13,5.8,6.0,5.65,5.97,58.37138238,346.097389394,5.92923064836
2011-09-14,5.58,5.72,5.52,5.53,61.14598362,341.854813235,5.59079751434
2011-09-15,5.12,5.24,5.0,5.13,80.1407952,408.259002164,5.09427191414
2011-09-16,4.82,4.87,4.8,4.85,39.9140068,193.7631466,4.85451504708
2011-09-17,4.87,4.87,4.87,4.87,0.3,1.461,4.87
2011-09-18,4.87,4.92,4.81,4.92,119.8128,579.843102741,4.8395755941
2011-09-19,4.9,4.9,4.9,4.9,20.0,98.0,4.9
2011-09-20,4.92,5.66,4.92,5.66,89.28071068,481.049262912,5.38805369321
2011-09-21,5.7,5.79,5.66,5.66,17.62932238,100.594233566,5.70607487898
2011-09-22,5.68,5.72,5.68,5.72,43.77842238,249.403941118,5.69696045585
2011-09-23,5.7,5.72,5.7,5.72,20.68003681,118.023014807,5.70709887471
2011-09-24,5.7,5.76,5.68,5.68,90.58706633,518.383945251,5.72249401876
2011-09-25,6.05,6.05,6.05,6.05,12.22,73.931,6.05
2011-09-26,6.06,6.06,4.8,4.8,39.57846334,236.800854428,5.983073481
2011-09-27,4.85,4.92,4.85,4.92,24.3545,119.22506,4.89540167115
2011-09-28,4.9,4.91,4.82,4.82,83.0533258,403.846605908,4.86249770275
2011-09-29,4.81,4.82,4.81,4.82,46.9645,226.197226,4.81634481364
2011-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,4.85,4.87,4.83,4.87,30.57595,148.2252315,4.84777190897
2011-10-04,4.86,5.3,4.8,4.98,142.52162238,701.881480452,4.92473681348
2011-10-05,4.92,6.25,4.8,4.92,113.72,571.9455,5.0294187478
2011-10-06,4.88,4.99,4.8,4.8,170.84354937,838.644692166,4.90884610662
2011-10-07,4.8,4.81,4.59,4.61,94.64,443.6372,4.68762890955
2011-10-08,4.57,4.57,3.99,3.99,56.0,249.51,4.45553571429
2011-10-09,3.89,3.89,3.89,3.89,11.0,42.79,3.89
2011-10-10,3.99,4.51,3.99,4.51,132.5,596.025001536,4.49830189838
2011-10-11,3.98,4.1,3.98,4.1,78.08,312.23915,3.99896452357
2011-10-12,3.95,3.99,3.93,3.93,79.523525,313.63792864,3.94396411175
2011-10-13,3.93,3.97,3.93,3.97,109.621766,433.32637745,3.95292279318
2011-10-14,4.05,4.05,4.05,4.05,96.97751266,392.758926273,4.05
2011-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,3.92,3.92,3.92,3.92,10.24,40.1408,3.92
2011-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,2.22,2.29,2.22,2.24,61.972332,139.2859281,2.24755021483
2011-10-21,2.22,2.27,2.22,2.27,41.46334066,92.8928059918,2.2403599062
2011-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,2.99,2.99,2.92,2.92,64.54,189.0945,2.92988069414
2011-10-25,2.66,2.72,2.66,2.72,130.29932366,350.696604355,2.69146910747
2011-10-26,2.72,3.0,2.67,2.69,268.26897266,719.877157002,2.68341564015
2011-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-28,3.07,4.36,3.07,4.2,118.37787266,445.379526066,3.76235453517
2011-10-29,3.69,4.4,3.69,3.95,88.432425,342.34564825,3.87126835264
2011-10-30,3.85,3.85,3.2,3.5,116.381395,427.18643725,3.67057326689
2011-10-31,3.25,3.55,3.2,3.3,68.99404308,226.894158956,3.28860505672
2011-11-01,3.32,3.33,3.32,3.33,38.7771206,128.83546607,3.32246087581
2011-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,3.27,3.55,3.21,3.55,117.08103867,389.570504439,3.32735777598
2011-11-05,3.21,3.21,3.0,3.0,103.512,324.1387,3.13141181699
2011-11-06,2.95,2.95,2.95,2.95,203.388,599.9946,2.95
2011-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-08,3.08,3.08,3.08,3.08,47.47212389,146.214141581,3.08
2011-11-09,3.09,3.3,3.09,3.3,58.86052015,188.319463035,3.19941894083
2011-11-10,3.25,3.3,2.95,3.3,121.66777314,388.045937627,3.18938966016
2011-11-11,3.3,3.3,3.3,3.3,65.434,215.9322,3.3
2011-11-12,3.35,3.35,3.35,3.35,2.79,9.3465,3.35
2011-11-13,3.35,3.35,3.35,3.35,29.48955224,98.790000004,3.35
2011-11-14,2.95,2.95,2.47,2.47,183.4,505.874,2.75830970556
2011-11-15,2.99,3.0,2.5,2.5,97.3416118,256.464282119,2.63468292107
2011-11-16,2.51,3.0,2.51,3.0,5.61666667,16.74220001,2.98080712167
2011-11-17,3.0,3.0,2.5,2.99,17.01862876,47.3561859462,2.78260878794
2011-11-18,2.5,2.79,2.5,2.5,88.44,224.29,2.53606965174
2011-11-19,2.5,2.5,2.43,2.43,48.87212355,119.547460226,2.44612780339
2011-11-20,2.37,2.37,2.37,2.37,11.0,26.07,2.37
2011-11-21,2.45,3.0,2.25,2.25,290.52677579,707.519199991,2.43529773828
2011-11-22,2.53,2.59,2.46,2.59,328.49334593,811.138088702,2.46926794333
2011-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-24,2.54,3.0,2.54,3.0,9.1446088,26.2532271838,2.87089669531
2011-11-25,2.5,15.0,2.5,2.75,179.78726599,566.878999992,3.15305423257
2011-11-26,2.77,2.77,2.77,2.77,10.09025271,27.9500000067,2.77
2011-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-28,2.67,2.78,2.66,2.66,180.36714898,486.850000007,2.6992165855
2011-11-29,2.69,3.23,2.69,2.72,62.46464882,173.265896505,2.77382327089
2011-11-30,3.19,3.19,3.19,3.19,14.53918495,46.3799999905,3.19
2011-12-01,3.46,3.48,3.3,3.42,233.78003348,805.790643545,3.44678983722
